512 3
. . . 
. . .
. . .
. . .
. . .
. . .
. . .
. . .
. . .
. . .
. . .
. . .
# # .
. . .
. . .
. . .
. . .
. . o
. . .
. . .
# . .
. . .
. . .
. . .
. . .
. . .
. . .
# . .
. # .
. . .
. . .
# . .
. . .
. . .
. o .
. . .
. . .
. . #
. # .
. . .
. . .
. . .
. . .
# . .
. . .
. . .
# # .
. . .
. . .
x . .
. . .
. . .
. . .
. . .
. . .
# . #
. o .
. . .
# . .
. . .
. . .
. # .
. . .
. . .
# . .
. . .
. . .
. . .
. . o
. . .
. . .
. # # 
. . .
. . .
. . .
# . .
. . .
. . .
. . .
. . .
# . #
. . .
. . .
. . .
. . #
# . .
. . .
. . .
. . .
. . .
. o .
. . .
# . #
. . .
. . .
. . .
. x .
. . .
# # .
. . .
. . .
. . .
. # .
# . .
. . .
. . .
. . #
. . .
. . .
. . .
. . .
. . .
. # .
o . .
. . .
. . .
. . .
# . #
. . #
. . .
. . .
. . .
. # .
. . .
. . .
# . .
. # .
. . .
. . .
. . .
# # .
. . .
. . .
. . .
. . o
# # .
. . .
. . .
. . .
. . .
. # .
. . .
. . #
. . .
. . .
. . .
. # .
. . .
. . .
. . .
. . .
# o #
. . .
. . .
. . .
. # .
. . .
. . .
. . .
# . .
. # .
. . .
. . o
. # .
. . .
. . .
. . .
. . .
# . #
. . #
. . .
. . .
. . .
# . #
. . .
. . .
. # .
. . .
. . .
. . .
# . #
. . .
. . .
. x .
# . #
. . .
. . .
. . .
. # #
. . .
. . .
. . .
o # #
. . .
. . .
# . #
. . .
# . .
. . .
. . .
. . .
. . .
. . .
# # .
. . .
. . .
. . o
# # .
. . .
. . .
. . .
. . .
# . .
. # .
. . .
. . .
# # .
. . .
. . .
. . .
. . .
. . #
. . .
. # .
. . .
. . .
. . .
o # #
. . .
. . .
. . #
. . .
. . .
# . .
. # .
. . .
. . .
. . .
# . #
. . .
. . .
. . .
# . .
. . #
. . .
. . .
# . #
. . .
. . .
. . .
. . .
. . .
x . .
. . .
# . .
. # .
. . .
. . .
. . .
# . #
. . .
. . .
. . .
# . #
. . .
. . .
. . .
. # .
. . o
. . .
. . .
. # .
. . #
. . .
. . .
. . #
# . .
. . .
. . .
. . .
# # .
. . .
. . .
. . .
. # .
. . .
. . .
. # .
. . .
. . .
# . .
. . #
. . .
. . .
. . .
. . .
. # .
# . .
. . .
. . .
. o .
. . .
. . .
. # #
. . .
. . .
. . .
# . #
. . .
# . .
. . .
. . .
. # #
. . .
. . .
. . .
. . .
. . #
. . .
. . .
# # .
. . .
. . .
. . .
# x .
. . .
. . .
. . .
# . #
. . .
. . .
# # .
. . .
. . .
. . .
. . .
. # .
. . .
. . .
. . .
. # #
. . . 
. . .
. . .
. . .
# o #
. . .
. . .
. . .
. # #
. . .
. . .
. . .
# . .
. # .
. . .
. . .
. . .
. . .
# . #
. . .
. . .
. . #
. # .
o . .
. . .
. . .
. . .
. # .
. . .
. . .
# # .
. . .
. . .
. . .
. . .
. . .
# . #
. . .
. . .
. . .
. # .
. . .
. . .
. . .
. o #
. . .
# . .
. . .
. . .
# # .
. . .
. . .
. . .
# . #
. . .
. . .
. . .
. . .
# # .
. . .
. . .
# . .
. . #
. . .
. . .
. . .
# # .
. . .
. . .
. x .
. . .
. . .
# . .
. . .
. . .
. . #
. . .
. . .
. . .
. # .
. . .
. . #
. . .
. . .
. . .
. . .
# . .
. . .
# . o
. . .
. . .
. . .
. . .
# # .
. . .
. . .
. # #
. . .
. . .
. . .
. . .
. # .
# . .
. . .
. . .
. . .
# . .
. . .
. . .
# . #
. . .
. . .
. # #
. . .
. . .
. . .
. # .
. . #
. . .
. . #
o . .
. # .
. . .
. . .
. . .
. . #
# . .
. . .
. . .
. . .
. . .
# # .
. . .
. . .
. . .
. # .
. . .
. . .
# . .
. . .
# # .
. . .
. . .
. # .
. . .
. . .
. . .
# # .
. . .
. . .
. . .
. . #
. . .
. # .
. . .
. . .
. . #
. . .
. . .
. . .
. . .
. . .
. . .
. . .
. . .
. . .
. . .
. . .
. . .
. . .
